lstat,ID,chas,rad,ptratio,black,tax,pool,cat_dis,crim,cat_age,medv,zn,nox,rm,indus,palux,garb
4.98,1,0,1,15.3,396.9,296,,Lejos,0.00632,Casi nueva,24.0,18.0,0.538,6.575,2.31,-4.898979485566356,0.3745401188473625
9.14,2,0,2,17.8,396.9,242,,Lejos,0.02731,Antigua,21.6,0.0,0.469,6.421,7.07,-4.6475800154489,0.9507143064099162
2.94,4,0,3,18.7,394.63,222,,Muy lejos,0.03237,Casi nueva,33.4,0.0,0.458,6.998,2.18,-5.779273310719955,0.7319939418114051
5.33,5,0,3,18.7,396.9,222,,Muy lejos,0.06905,Casi nueva,36.2,0.0,0.458,7.147,2.18,-6.016643582596529,0.5986584841970366
12.43,7,0,5,15.2,395.6,311,,Muy lejos,0.08829,Casi nueva,22.9,12.5,0.524,6.012,7.87,-4.78539444560216,0.15601864044243652
20.45,11,0,5,15.2,392.52,311,,Muy lejos,0.22489,Muy antigua,15.0,12.5,0.524,6.377,7.87,-3.872983346207417,0.15599452033620265
13.27,12,0,5,15.2,396.9,311,,Muy lejos,0.11747,Antigua,18.9,12.5,0.524,6.009,7.87,-4.347413023856832,0.05808361216819946
15.71,13,0,5,15.2,390.5,311,,Muy lejos,0.09378,Nueva,21.7,12.5,0.524,5.889,7.87,-4.658325879540846,0.8661761457749352
8.26,14,0,4,21.0,396.9,307,,Lejos,0.62976,Casi nueva,20.4,0.0,0.538,5.949,8.14,-4.516635916254486,0.6011150117432088
10.26,15,0,4,21.0,380.02,307,,Lejos,0.63796,Antigua,18.2,0.0,0.538,6.096,8.14,-4.266145801540309,0.7080725777960455
8.47,16,0,4,21.0,395.62,307,,Lejos,0.62739,Casi nueva,19.9,0.0,0.538,5.834,8.14,-4.460941604639093,0.020584494295802447
6.58,17,0,4,21.0,386.85,307,,,1.05393,Nueva,23.1,0.0,0.538,5.935,8.14,-4.806245936279167,0.9699098521619943
11.69,19,0,4,21.0,288.99,307,,Lejos,0.80271,Nueva,20.2,0.0,0.538,5.456,8.14,-4.494441010848846,0.8324426408004217
